"IDPIF","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2009240194","138.86","664.83","0","0","17","CASTILLA Y LEON","24","LEON","PONFERRADA","PONFERRADA","42.442418","-6.50425","2009-03-16","1139","2039","1","4","SIN DATOS","58","2","7","0","0"
"2002400035","138.8","664.69","0","0","17","CASTILLA Y LEON","40","SEGOVIA","EL ESPINAR","ESPINAR EL","40.687389","-4.291369","2002-08-13","181","2816","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","158","10","14","0","0"
"2004180003","138.58","664.16","0","0","4","ANDALUCIA","18","GRANADA","SIERRAS LITORALES","ALMUÑÉCAR","36.810767","-3.771429","2004-01-14","1440","2635","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","295","6","9","0","0"
"2010390282","138.5","663.97","0","0","6","CANTABRIA","39","CANTABRIA","COMARCA 13","VALDÁLIGA","43.319771","-4.341817","2010-03-19","0","0","1","4","VANDALISMO","0","0","0","0","21337"
"2010270178","138.09","662.99","0","0","3","GALICIA","27","LUGO","TERRA DE LEMOS","SOBER","42.413086","-7.628765","2010-08-10","2829","3293","1","4","PROVOCADOS POR PIRÓMANOS","250","0","17","0","224002"
"2012210076","138.04","662.87","0","0","4","ANDALUCIA","21","HUELVA","CUENCA MINERA","NERVA","37.654256","-6.539038","2012-05-24","1762","3202","0","3","MOTORES Y MÁQUINAS (OTROS)","238","17","10","0","0"
"2002130072","138","662.77","0","0","11","CASTILLA-MANCHA","13","CIUDAD REAL","CAMPO DE CALATRAVA","CALZADA DE CALATRAVA","38.616195","-3.75917","2002-06-30","445","1380","1","4","SIN DATOS","101","10","4","0","0"
"2004241132","138","662.77","0","0","17","CASTILLA Y LEON","24","LEON","CANALES-LA MAGDALENA","RIELLO","42.80839","-6.019478","2004-02-13","4030","4270","0","2","QUEMA PARA REG. PASTOS (SIN ESPECIFICAR)","8","0","0","0","7680"
"2006320908","137.99","662.75","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","CUALEDRO","42.000543","-7.551013","2006-08-03","315","495","1","4","PROVOCADOS POR CAMPESINOS PARA ELIMINAR MATORRAL Y RESIDUOS AGRÍCOLAS","28","4","5","0","0"
"2002490328","137.94","662.63","0","0","17","CASTILLA Y LEON","49","ZAMORA","TABARA","OLMILLOS DE CASTRO","41.738732","-5.969234","2002-08-20","315","435","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","35","4","7","0","216093"
"2002240317","137","660.37","0","0","17","CASTILLA Y LEON","24","LEON","VILLAFRANCA","BALBOA","42.717219","-6.917798","2002-08-03","2861","2936","1","4","SIN DATOS","100","8","6","0","6254"
"2002390095","137","660.37","0","0","6","CANTABRIA","39","CANTABRIA","COMARCA 4","TOJOS, LOS","43.143144","-4.217251","2002-01-26","900","960","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","11","0","0","90","6362"
"2003080294","137","660.37","0","0","2","CATALUÑA","8","BARCELONA","ALT PENEDES","OLÈRDOLA","41.301984","-4.303193","2003-08-13","390","2625","0","5","CAUSA DESCONOCIDA","90","14","4","0","0"
"2003270704","137","660.37","0","0","3","GALICIA","27","LUGO","FONSAGRADA-OS ANCARES","CERVANTES","42.830337","-7.01308","2003-08-12","1720","2200","0","1","RAYO","34","10","5","0","961872"
"2004322610","137","660.37","0","0","3","GALICIA","32","OURENSE","A LIMIA","PORQUEIRA","42.002223","-7.887102","2004-08-02","1082","1352","1","4","SIN DATOS","37","6","4","0","0"
"2009240307","137","660.37","0","0","17","CASTILLA Y LEON","24","LEON","ASTORGA","VILLAGATON","42.657064","-6.208297","2009-03-27","259","469","1","4","SIN DATOS","36","3","4","0","0"
"2004210142","136.57","659.33","0","0","4","ANDALUCIA","21","HUELVA","EL ANDEVALO","CALAÑAS","37.605398","-6.849199","2004-08-15","1269","1660","0","2","FUMADORES","138","14","18","0","0"
"2007460115","136.51","659.18","0","0","9","C. VALENCIANA","46","VALENCIA","ELS SERRANS","HIGUERUELAS","39.752961","-0.845809","2007-07-15","1075","4675","1","4","OTRAS MOTIVACIONES","359","20","14","0","241419"
"2009330936","136.4","658.92","0","0","5","ASTURIAS","33","ASTURIAS","NARCEA","ALLANDE","43.212502","-6.691691","2009-03-20","0","0","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","5","0","0","0","10794"
"2007360749","136.35","658.8","0","0","3","GALICIA","36","PONTEVEDRA","CALDAS-O SALNES","LAMA, A","42.431384","-8.409527","2007-11-03","1805","2190","1","4","OTRAS MOTIVACIONES","50","9","2","59181","6382"
"2012100026","136.05","658.07","0","0","14","EXTREMADURA","10","CACERES","AMBROZ-JERTE Y TIETAR","TORNAVACAS","40.273326","-5.72177","2012-01-12","530","5750","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","33","2","5","0","0"
"2006151547","136.05","658.07","0","0","3","GALICIA","15","A CORUÑA","FISTERRA","MUROS","42.770653","-9.083119","2006-08-06","1210","1440","1","4","SIN DATOS","60","8","3","0","353851"
"2002100425","136","657.95","0","0","14","EXTREMADURA","10","CACERES","AMBROZ-JERTE Y TIETAR","BERROCALEJO","39.829357","-5.338339","2002-08-07","315","435","1","4","SIN DATOS","29","5","2","0","16320"
"2008250042","135.9","657.71","0","0","2","CATALUÑA","25","LLEIDA","VAL D ARAN","BOSSÒST","42.793661","0.685319","2008-02-14","4775","6155","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","51","6","0","0","0"
"2006290177","135.6","656.98","0","1","4","ANDALUCIA","29","MALAGA","COSTA DEL SOL","OJÉN","36.580902","-4.826104","2006-10-07","1036","11596","0","3","MOTORES Y MÁQUINAS (OTROS)","394","22","14","190629","101727"
"2011440020","135.59","656.96","6","1","10","ARAGON","44","TERUEL","COMUNIDAD DE TERUEL","CASCANTE DEL RÍO","40.221","-1.164029","2011-03-19","689","3182","0","2","QUEMA AGRÍCOLA (QUEMA DE LINDES Y BORDES DE FINCAS)","184","13","7","44726","317439"
"2008490356","135.49","656.72","0","0","17","CASTILLA Y LEON","49","ZAMORA","TABARA","OLMILLOS DE CASTRO","41.750537","-5.973435","2008-09-02","355","1885","0","2","QUEMA AGRÍCOLA (SIN ESPECIFICAR)","64","5","7","0","0"
"2006070064","135.28","656.21","0","4","15","ILLES BALEARS","7","ILLES BALEARS","MENORCA","FERRERIES","40.047245","3.997941","2006-08-01","1720","9136","1","4","SIN DATOS","233","12","11","250000","229027"
"2002060575","135","655.53","0","0","14","EXTREMADURA","6","BADAJOZ","TENTUDIA","FUENTE DE CANTOS","38.234765","-6.255972","2002-09-12","195","240","0","2","QUEMA AGRÍCOLA (SIN ESPECIFICAR)","4","1","1","0","0"
"2003390094","135","655.53","0","0","6","CANTABRIA","39","CANTABRIA","COMARCA 3","TUDANCA","43.15603","-4.360318","2003-03-22","1020","1080","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","7","0","0","57","39568"
