"idCCAA_INE","idComunidad","comunidad","idProvincia","provincia","idMunicipio","municipio","num_incendios","supquemada"
"02",10,"ARAGON",22,"HUESCA",22226,"TARDIENTA",5,3.1400
11,14,"EXTREMADURA",10,"CACERES",10028,"BERROCALEJO",5,139.8000
"08",11,"CASTILLA-MANCHA",19,"GUADALAJARA",19005,"ALARILLA",5,1.9100
"09","02","CATALUÑA","08","BARCELONA","08017","BALENYÀ",5,0.4900
"07",17,"CASTILLA Y LEON","05","AVILA","05183","PEDRO-RODRIGUEZ",5,4.3500
"02",10,"ARAGON",22,"HUESCA",22135,"LALUENGA",5,37.0100
"07",17,"CASTILLA Y LEON",49,"ZAMORA",49005,"ALFARAZ DE SAYAGO",5,101.2900
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37211,"NARROS DE MATALAYEGUA",5,0.7300
11,14,"EXTREMADURA","06","BADAJOZ","06140","VALENCIA DEL MOMBUEY",5,6.6800
"07",17,"CASTILLA Y LEON","09","BURGOS","09421","VID Y BARRIOS LA",5,4.6000
"02",10,"ARAGON",44,"TERUEL",44161,"MUNIESA",5,0.3700
15,13,"NAVARRA",31,"NAVARRA",31246,"UTERGA",5,0.5500
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16119,"LEGANIEL",5,17.6400
"06","06","CANTABRIA",39,"CANTABRIA",39035,"LAREDO",5,3.7400
13,16,"MADRID",28,"MADRID",28003,"ALAMEDA DEL VALLE",5,0.1100
16,"01","EUSKADI",48,"VIZCAYA",48052,"LARRABETZU",5,22.3300
15,13,"NAVARRA",31,"NAVARRA",31238,"UNZUÉ",5,1.1300
"07",17,"CASTILLA Y LEON",49,"ZAMORA",49269,"VILLASECO DEL PAN",5,114.3400
"02",10,"ARAGON",22,"HUESCA",22011,"ALBERO ALTO",5,31.0600
16,"01","EUSKADI",20,"GUIPUZCOA",20050,"LEABURU",5,0.2600
"09","02","CATALUÑA","08","BARCELONA","08298","VIC",5,0.6200
10,"09","C. VALENCIANA",12,"CASTELLON",12124,"VALL D' ALBA",5,0.7200
"02",10,"ARAGON",50,"ZARAGOZA",50193,"NUEZ DE EBRO",5,5.1900
"09","02","CATALUÑA","08","BARCELONA","08276","TAGAMANENT",5,0.2100
"01","04","ANDALUCIA",41,"SEVILLA",41039,"ÉCIJA",5,12.5400
17,"07","LA RIOJA",26,"LA RIOJA",26070,"GRÁVALOS",5,2.2700
"09","02","CATALUÑA","08","BARCELONA","08166","POBLA DE LILLET, LA",5,1.6600
15,13,"NAVARRA",31,"NAVARRA",31211,"ORREAGA/RONCESVALLES",5,37.0200
"07",17,"CASTILLA Y LEON",47,"VALLADOLID",47123,"POZAL DE GALLINAS",5,6.4900
11,14,"EXTREMADURA","06","BADAJOZ","06079","MANCHITA",5,9.4000
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16141,"OLMEDA DEL REY",5,0.3200
"01","04","ANDALUCIA",23,"JAEN",23030,"CHILLUÉVAR",5,0.9900
"05",12,"CANARIAS",38,"S.C. TENERIFE",38011,"CANDELARIA",5,0.1200
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16030,"BASCUÑANA DE SAN PEDRO",5,1.5000
"02",10,"ARAGON",50,"ZARAGOZA",50119,"GELSA",5,5.2600
"01","04","ANDALUCIA",41,"SEVILLA",41092,"TOCINA",5,0.4800
