"ranking","idCCAA_INE","idComunidad","comunidad","idProvincia","provincia","idMunicipio","municipio","num_incendios","supquemada"
54,"03","05","ASTURIAS",33,"ASTURIAS",33045,"PARRES",551,1798.2900
55,12,"03","GALICIA",36,"PONTEVEDRA",36021,"GONDOMAR",546,763.9400
56,"03","05","ASTURIAS",33,"ASTURIAS",33066,"SIERO",535,934.6800
57,12,"03","GALICIA",36,"PONTEVEDRA",36016,"DOZÓN",534,1144.3500
58,12,"03","GALICIA",36,"PONTEVEDRA",36012,"COTOBADE",532,1755.4300
59,12,"03","GALICIA",32,"OURENSE",32046,"MELÓN",527,1918.8900
60,"03","05","ASTURIAS",33,"ASTURIAS",33005,"BELMONTE DE MIRANDA",520,4283.0900
61,11,14,"EXTREMADURA","06","BADAJOZ","06015","BADAJOZ",514,2820.3600
62,12,"03","GALICIA",32,"OURENSE",32043,"MACEDA",509,3051.0600
63,"06","06","CANTABRIA",39,"CANTABRIA",39097,"VEGA DE PAS",506,10009.6700
64,12,"03","GALICIA",32,"OURENSE",32091,"VILARDEVÓS",499,4282.4100
65,12,"03","GALICIA",15,"A CORUÑA",15071,"PORTO DO SON",495,3343.8100
66,15,13,"NAVARRA",31,"NAVARRA",31050,"BAZTAN",495,3165.7400
67,"03","05","ASTURIAS",33,"ASTURIAS",33032,"LAVIANA",493,1383.5000
68,12,"03","GALICIA",36,"PONTEVEDRA",36033,"MOS",491,237.1100
69,"03","05","ASTURIAS",33,"ASTURIAS",33056,"RIBADESELLA",490,1185.8900
70,12,"03","GALICIA",36,"PONTEVEDRA",36005,"CALDAS DE REIS",489,1907.5700
71,12,"03","GALICIA",32,"OURENSE",32085,"VERÍN",489,3505.3200
72,12,"03","GALICIA",36,"PONTEVEDRA",36052,"SILLEDA",487,1874.4900
73,12,"03","GALICIA",27,"LUGO",27040,"PALAS DE REI",480,2141.6400
74,12,"03","GALICIA",32,"OURENSE",32067,"RAIRIZ DE VEIGA",478,820.7000
75,12,"03","GALICIA",15,"A CORUÑA",15059,"ORDES",462,691.8100
76,"03","05","ASTURIAS",33,"ASTURIAS",33043,"ONÍS",457,1223.2600
77,12,"03","GALICIA",32,"OURENSE",32061,"PIÑOR",456,1490.2900
78,11,14,"EXTREMADURA",10,"CACERES",10037,"CÁCERES",451,7373.1100
79,"06","06","CANTABRIA",39,"CANTABRIA",39014,"CABUÉRNIGA",450,5683.5500
80,12,"03","GALICIA",32,"OURENSE",32053,"OÍMBRA",445,2056.0800
81,12,"03","GALICIA",15,"A CORUÑA",15036,"FERROL",445,1231.5800
82,12,"03","GALICIA",32,"OURENSE",32005,"BALTAR",438,2437.0600
83,12,"03","GALICIA",27,"LUGO",27058,"SAVIÑAO, O",435,2167.3700
84,12,"03","GALICIA",36,"PONTEVEDRA",36045,"REDONDELA",418,159.8500
85,12,"03","GALICIA",32,"OURENSE",32076,"SAN CRISTOVO DE CEA",413,2797.1300
86,12,"03","GALICIA",27,"LUGO",27015,"COSPEITO",412,395.9500
87,12,"03","GALICIA",15,"A CORUÑA",15093,"ZAS",404,734.0600
88,"07",17,"CASTILLA Y LEON",49,"ZAMORA",49094,"HERMISENDE",396,11059.0100
89,12,"03","GALICIA",15,"A CORUÑA",15029,"CORISTANCO",392,907.4900
90,12,"03","GALICIA",15,"A CORUÑA",15056,"NEGREIRA",389,3502.0200
91,"03","05","ASTURIAS",33,"ASTURIAS",33031,"LANGREO",385,679.6800
92,12,"03","GALICIA",27,"LUGO",27009,"CARBALLEDO",384,1424.3700
93,12,"03","GALICIA",15,"A CORUÑA",15002,"AMES",381,1107.3400
94,12,"03","GALICIA",36,"PONTEVEDRA",36041,"POIO",379,367.0700
95,12,"03","GALICIA",32,"OURENSE",32006,"BANDE",376,1799.0500
96,12,"03","GALICIA",32,"OURENSE",32009,"BARCO DE VALDEORRAS, O",374,2898.9800
97,12,"03","GALICIA",32,"OURENSE",32041,"LOBEIRA",368,2620.2600
98,12,"03","GALICIA",27,"LUGO",27023,"GUNTÍN",361,387.7300
99,"03","05","ASTURIAS",33,"ASTURIAS",33034,"VALDÉS",361,4534.9600
100,12,"03","GALICIA",15,"A CORUÑA",15005,"ARTEIXO",360,541.2400
