"idcomunidad","comunidad","anio","num_incendios","supquemada","median_llegpmt","median_ctrl","median_ext"
15,"ILLES BALEARS",2001,127,332.8100,20,66,165
15,"ILLES BALEARS",2002,73,57.8200,20,45,96
15,"ILLES BALEARS",2003,126,219.0800,15,47,118.5
15,"ILLES BALEARS",2004,170,136.8500,20,58,130.5
15,"ILLES BALEARS",2005,141,347.3900,19,49,124
15,"ILLES BALEARS",2006,121,164.7900,22,59,119
15,"ILLES BALEARS",2007,111,123.8800,21,56,133
15,"ILLES BALEARS",2008,115,44.0600,20,62,118
15,"ILLES BALEARS",2009,113,109.4500,19,56,100
15,"ILLES BALEARS",2010,99,605.5300,22,67,117
15,"ILLES BALEARS",2011,152,2341.1000,20,79,143.5
15,"ILLES BALEARS",2012,147,404.6600,22,79,165
15,"ILLES BALEARS",2013,89,2845.4400,20,70,125
16,"MADRID",2001,294,1801.9400,21.5,45,113
16,"MADRID",2002,312,1630.1200,19.5,42,99
16,"MADRID",2003,322,3032.4700,23,50,113.5
16,"MADRID",2004,372,1627.3600,19,38,91
16,"MADRID",2005,423,824.8500,22,40,95
16,"MADRID",2006,269,1094.9300,21,36,94
16,"MADRID",2007,230,449.7500,20,36,81
16,"MADRID",2008,219,334.8700,21,39,78
16,"MADRID",2009,323,324.6000,20,40,93
16,"MADRID",2010,173,100.9700,20,40,71
16,"MADRID",2011,272,376.8500,19,37,82
16,"MADRID",2012,333,2361.0200,18,34,101
16,"MADRID",2013,230,1277.9300,18,31.5,78
17,"CASTILLA Y LEON",2001,1779,23879.3300,20,90,165
17,"CASTILLA Y LEON",2002,1296,12090.1000,20,90,150
17,"CASTILLA Y LEON",2003,1425,28297.9500,18,75,150
17,"CASTILLA Y LEON",2004,1727,14303.5000,20,75,148
17,"CASTILLA Y LEON",2005,2443,38414.1100,20,75,142
17,"CASTILLA Y LEON",2006,1419,14470.2100,20,60,121
17,"CASTILLA Y LEON",2007,1314,8274.4300,20,60,120
17,"CASTILLA Y LEON",2008,1901,14891.7500,20,65,120
17,"CASTILLA Y LEON",2009,2512,29951.6200,20,70,131
17,"CASTILLA Y LEON",2010,1104,8410.4600,21,58,122
17,"CASTILLA Y LEON",2011,2064,16131.1200,21,67,138.5
17,"CASTILLA Y LEON",2012,2399,42650.4400,20,66,124
17,"CASTILLA Y LEON",2013,1235,12368.4700,20,57,120
